word	count
<PAD>	1
<SOS>	1
<EOS>	1
<OUT>	1
!	33523
.	354225
0	20
00	6
000	139
007	17
009843	2
0150	2
01766	2
0300	3
05	2
06	2
0800	3
0h	7
1	87
10	87
100	52
1000	21
1002	3
101	9
1012	2
1030	6
104	2
105	2
107	2
109	2
10th	5
11	26
110	3
1100	3
1108	2
112	2
114	11
115	2
117	3
119	2
11th	3
12	61
120	4
1200	3
1230	2
124	4
125	6
125th	2
127	2
12th	2
13	22
130	4
132	3
133	2
134	4
135	3
137	2
138	2
139	2
13th	10
14	35
140	5
143	3
145	3
147	2
1490	2
14s	2
14th	3
15	49
150	17
1500	4
1530	2
155	2
159	2
15th	5
16	21
1600	3
165	2
167	2
16th	7
17	31
1700	3
1718	2
175	2
17th	2
18	44
180	13
1800s	2
184	3
1840	2
1857	2
1862	2
1870	2
1879	2
1888	2
1890	2
1895	2
18th	3
19	15
190	3
1904	2
1916	2
1917	2
1918	2
1920	2
1920s	2
1922	5
1930	3
1932	2
1934	2
1935	5
1937	4
1938	4
1939	4
1940	2
1942	4
1944	3
1945	7
1948	4
1949	2
1952	5
1953	4
1956	4
1957	2
1958	2
1959	3
1960	5
1961	2
1962	3
1963	6
1964	3
1965	2
1966	3
1967	7
1968	4
1969	6
1970	6
1971	3
1972	4
1973	2
1975	2
1976	4
1977	4
1978	2
1980	7
1981	3
1982	4
1983	3
1984	8
1985	6
1986	2
1988	4
1989	5
1990	2
1992	4
1993	5
1995	9
1997	5
1998	3
19th	8
1st	5
2	104
20	91
200	29
2000	15
2004	4
2005	2
201	2
2017	3
202	2
2063	2
20s	3
20th	9
21	26
210	3
211	3
212	5
213	2
215	3
21st	10
22	32
22nd	3
22s	2
23	15
230	10
231	2
235	5
237	6
23rd	11
24	47
240	2
245	2
247	2
24th	2
25	34
250	20
2500	3
255	2
259	3
25th	5
26	11
26th	2
27	10
270	4
27b6	2
28	20
280	2
28th	2
29	9
290	2
2nd	5
3	70
30	63
300	23
3000	5
3000w	2
302	3
303	3
304	3
306	3
308	2
30s	3
30th	3
31	14
314	2
315	2
32	11
327	3
3274	2
33	6
330	4
337	2
33rd	5
34	13
347	3
34th	2
35	18
350	12
357	4
36	12
365	2
37	6
38	18
383	2
38s	2
39	7
3jane	3
3janes	3
3rd	7
3s	2
4	61
40	34
400	28
4000	3
401	4
405	4
406	2
40s	6
41	7
411	2
412l	3
414	5
415	3
41st	3
42	10
4200	2
422	2
425	2
43	10
430	9
44	10
45	30
450	7
4500	2
453	2
454	2
45s	3
46	6
47	5
471	3
478	2
47th	2
48	23
4800	2
483	2
4g	2
4th	13
5	83
50	54
500	37
5000	9
504	2
50s	7
51	3
52	4
53	8
530	3
54	11
545	3
55	7
550	3
555	7
56	7
57	10
57th	2
58	4
59	5
59th	4
5th	5
6	81
60	47
600	10
60s	2
61	4
62	6
63	8
630	4
63rd	4
64	7
642	2
645	2
65	7
655321	4
66	4
666	2
67	2
68	8
680	2
69	14
6th	4
7	72
70	11
700	7
70s	8
71	6
72	12
72nd	2
73	2
730	10
74	5
746	2
747	3
75	18
750	6
7548	2
755	2
76	8
77	2
770	3
78	6
7881	2
78s	5
79	7
7th	7
8	53
80	19
800	23
803	2
80s	6
81	6
810	2
818	2
82	7
82799	2
83	3
830	7
84	7
843rd	3
85	13
86	4
87	8
88	4
89	5
8s	2
8th	5
9	32
90	17
900	14
904	2
908	2
90s	5
91	3
911	17
92	5
93	4
930	6
94	4
95	10
96	6
97	9
9799	2
98	3
99	25
9962	2
9s	2
9th	8
?	103189
a	62875
aa	8
aaa	3
aaaaa	2
aaaaaaaaaaaa	2
aaaah	6
aaaahhhh	3
aaagh	2
aaah	7
aagh	2
aah	15
aahhh	2
aannnnaahhnn	2
aardvark	2
aaron	19
aarons	3
ab	5
abandon	23
abandoned	39
abattoir	2
abba	4
abbe	14
abbot	2
abbott	13
abby	8
abc	6
abdomen	2
abduct	2
abducted	7
abduction	8
abdul	5
abdullah	3
abe	8
aberdeen	3
aberration	3
abes	2
abetting	6
abhor	2
abide	8
abiding	3
abigail	2
abilities	12
ability	52
able	451
abnormal	7
aboard	78
abolished	2
abolofia	2
abominable	2
abomination	5
abort	17
aborted	2
abortion	23
abortions	2
about	12733
above	109
aboveground	2
abraham	11
abrams	5
abreast	2
abroad	7
abrupt	3
abruzzi	2
abs	8
absence	22
absent	11
absenteeism	2
absinthe	3
abso	3
absolute	32
absolutely	353
absolution	2
absolved	3
absorb	6
absorbed	4
absorbing	4
abstract	8
abstraction	3
absurd	36
absurde	2
abundance	2
abundant	2
abuse	29
abused	6
abusing	3
abusive	3
abyss	2
ac	5
academic	7
academics	2
academy	42
accelerate	5
accelerated	6
accelerating	4
accelerator	2
accelerators	2
accent	23
accents	6
accentuate	2
accept	164
acceptable	11
acceptance	5
accepted	35
accepting	12
accepts	7
accesory	2
access	93
accessed	10
accessible	5
accessory	11
accident	346
accidental	12
accidentally	14
accidently	8
accidents	19
acclimate	2
accommodate	8
accommodating	2
accommodation	2
accompanied	3
accompany	16
accompanying	5
accompli	3
accomplice	9
accomplices	2
accomplish	15
accomplished	24
accomplishing	4
accomplishment	5
accomplishments	5
accordance	3
accorded	3
according	107
accordingly	3
accords	2
accosted	2
account	156
accounta	3
accountability	2
accountable	2
accountant	20
accountants	5
accounted	11
accounting	19
accounts	34
accump	2
accumulate	3
accumulated	2
accurate	24
accurately	3
accusation	9
accusations	8
accuse	17
accused	34
accusing	18
accustomed	5
ace	46
aced	5
aces	12
ach	8
ache	5
aches	4
acheson	3
achieve	13
achieved	7
achievement	10
achievements	4
achievers	4
achieving	2
achilles	6
achin	2
acid	39
acids	2
acitizen	2
ackerman	4
ackermans	2
ackland	3
acklands	2
acknowledge	17
acknowledged	10
acknowledging	3
acl	3
acme	16
acmes	5
acorn	5
acorns	2
acquaintance	20
acquaintances	2
acquainted	15
acquiesce	2
acquire	9
acquired	13
acquires	2
acquiring	2
acquisition	6
acquisitions	5
acquit	3
acre	4
acres	21
acrobat	3
acrophobia	4
across	234
acrost	4
act	349
acted	41
actin	13
acting	188
action	150
actions	32
activate	21
activated	11
activating	3
activation	3
active	33
actively	3
activities	22
activity	34
actly	2
actor	92
actors	30
actress	37
actresses	10
acts	28
actual	42
actuality	3
actualization	2
actually	812
actuarial	3
acula	3
aculau	2
acute	8
ad	53
ada	6
adagio	2
adam	100
adamant	4
adamantium	4
adams	18
adapt	9
adapted	2
adapting	3
adcox	8
add	70
added	16
addict	10
addicted	10
addiction	11
addictive	8
addicts	7
adding	8
addison	26
addition	14
additional	15
additions	2
addled	2
addley	3
address	179
addressed	14
addresses	4
addressing	3
adds	11
adele	35
adeles	2
adelle	5
adenoids	2
adept	2
adequate	6
adherence	2
adhesive	2
adios	7
adjacent	3
adjectives	3
adjoining	2
adjourned	2
adjust	18
adjusted	8
adjusting	9
adjustment	10
adjustments	7
adjusts	2
adlai	3
adler	4
adm	9
admin	2
administer	5
administered	3
administering	2
administrate	2
administration	24
administrative	5
administrator	7
admirable	4
admiral	153
admirals	7
admiration	6
admire	67
admired	13
admirer	14
admirers	4
admiring	7
admission	19
admissions	12
